"Canal","7x Inférieur","6x Inférieur","5x Inférieur","4x Inférieur","3x Inférieur","2x Inférieur","1x Inférieur","Normaux","1x Supérieur","2x Supérieur","3x Supérieur","4x Supérieur","5x Supérieur","6x Supérieur","7x Supérieur","8x Supérieur","9x Supérieur","10x Supérieur","11x Supérieur"
1,"23,815","24,265","24,715","25,165","25,615","26,065","26,515","26,965","27,415","27,865","28,315","28,765","29,215","29,665","30,115","30,565","31,015","31,465","31,915"
2,"23,825","24,275","24,725","25,175","25,625","26,075","26,525","26,975","27,425","27,875","28,325","28,775","29,225","29,675","30,125","30,575","31,025","31,475","31,925"
3,"23,835","24,285","24,735","25,185","25,635","26,085","26,535","26,985","27,435","27,885","28,335","28,785","29,235","29,685","30,135","30,585","31,035","31,485","31,935"
"3 α","23,845","24,295","24,745","25,195","25,645","26,095","26,545","26,995","27,445","27,895","28,345","28,795","29,245","29,695","30,145","30,595","31,045","31,495","31,945"
4,"23,855","24,305","24,755","25,205","25,655","26,105","26,555","27,005","27,455","27,905","28,355","28,805","29,255","29,705","30,155","30,605","31,055","31,505","31,955"
5,"23,865","24,315","24,765","25,215","25,665","26,115","26,565","27,015","27,465","27,915","28,365","28,815","29,265","29,715","30,165","30,615","31,065","31,515","31,965"
6,"23,875","24,325","24,775","25,225","25,675","26,125","26,575","27,025","27,475","27,925","28,375","28,825","29,275","29,725","30,175","30,625","31,075","31,525","31,975"
7,"23,885","24,335","24,785","25,235","25,685","26,135","26,585","27,035","27,485","27,935","28,385","28,835","29,285","29,735","30,185","30,635","31,085","31,535","31,985"
"7 α","23,895","24,345","24,795","25,245","25,695","26,145","26,595","27,045","27,495","27,945","28,395","28,845","29,295","29,745","30,195","30,645","31,095","31,545","31,995"
8,"23,905","24,355","24,805","25,255","25,705","26,155","26,605","27,055","27,505","27,955","28,405","28,855","29,305","29,755","30,205","30,655","31,105","31,555","32,005"
9,"23,915","24,365","24,815","25,265","25,715","26,165","26,615","27,065","27,515","27,965","28,415","28,865","29,315","29,765","30,215","30,665","31,115","31,565","32,015"
10,"23,925","24,375","24,825","25,275","25,725","26,175","26,625","27,075","27,525","27,975","28,425","28,875","29,325","29,775","30,225","30,675","31,125","31,575","32,025"
11,"23,935","24,385","24,835","25,285","25,735","26,185","26,635","27,085","27,535","27,985","28,435","28,885","29,335","29,785","30,235","30,685","31,135","31,585","32,035"
"11 α","23,945","24,395","24,845","25,295","25,745","26,195","26,645","27,095","27,545","27,995","28,445","28,895","29,345","29,795","30,245","30,695","31,145","31,595","32,045"
12,"23,955","24,405","24,855","25,305","25,755","26,205","26,655","27,105","27,555","28,005","28,455","28,905","29,355","29,805","30,255","30,705","31,155","31,605","32,055"
13,"23,965","24,415","24,865","25,315","25,765","26,215","26,665","27,115","27,565","28,015","28,465","28,915","29,365","29,815","30,265","30,715","31,165","31,615","32,065"
14,"23,975","24,425","24,875","25,325","25,775","26,225","26,675","27,125","27,575","28,025","28,475","28,925","29,375","29,825","30,275","30,725","31,175","31,625","32,075"
15,"23,985","24,435","24,885","25,335","25,785","26,235","26,685","27,135","27,585","28,035","28,485","28,935","29,385","29,835","30,235","30,735","31,185","31,635","32,085"
"15 α","23,995","24,445","24,895","25,345","25,795","26,245","26,695","27,145","27,595","28,045","28,495","28,945","29,395","29,845","30,295","30,745","31,195","31,645","32,095"
16,"24,005","24,455","24,905","25,355","25,805","26,255","26,705","27,155","27,605","28,055","28,505","28,955","29,405","29,855","30,305","30,755","31,205","31,655","32,105"
17,"24,015","24,465","24,915","25,365","25,815","26,265","26,715","27,165","27,615","28,065","28,515","28,965","29,415","29,865","30,315","30,765","31,215","31,665","32,115"
18,"24,025","24,475","24,925","25,375","25,825","26,275","26,725","27,175","27,625","28,075","28,525","28,975","29,425","29,875","30,325","30,775","31,225","31,675","32,125"
19,"24,035","24,485","24,935","25,385","25,835","26,285","26,735","27,185","27,635","28,085","28,535","28,985","29,435","29,885","30,335","30,785","31,235","31,685","32,135"
"19 α","24,045","24,495","24,945","25,395","25,845","26,295","26,745","27,195","27,645","28,095","28,545","28,995","29,445","29,895","30,345","30,795","31,245","31,695","32,145"
20,"24,055","24,505","24,955","25,405","25,855","26,305","26,755","27,205","27,655","28,105","28,555","29,005","29,455","29,905","30,355","30,805","31,255","31,705","32,155"
21,"24,065","24,515","24,965","25,415","25,865","25,315","25,765","27,215","27,665","28,115","28,565","29,015","29,465","29,915","30,365","30,815","31,265","31,715","32,165"
